key,value,label,emerlabel,version,sent1,num
topic0,2.806485,description box; ipad air; comment section,0,11.07,1: i mean it work but why do you take off where you would click a link in the description and it doesn't even let_me go through the next video;<br>2: when i click a link in a description to go to another video it doesn't work;<br>3: you cannot click link in the description of video without it ask to open in your browser;<br>,1
topic0,1.458735,comment section; black screen; black box,0,11.1,1: just stop with the bug fix every_time you fix one another one pop_up and this time the bug be youtube constantly instal and not delete so now i can't watch youtube on my phone because the app won't open and whenever i go on safari it force me to use the app that doesn't work;<br>2: every_time i open it doesn't work and the screen be just white so i turn on my data and it work only with that and my smart_tv and my wiiu can't use it either can you_guy please_fix it;<br>3: even_though they update and fix the bug where you can't open url in video description it still doesn't work;<br>,2
topic0,2.624996,kinda annoy; notification center; take forever,0,11.11,1: whenever i click a link in a youtube video that link to another youtube video my browser open up and i don't have the option to take me back to the app and watch the video there so i'm force to watch link video on my browser as_oppose to on the app where i want to;<br>2: i love youtube until my video wouldn't upload they pause a lot go blurry and it take_forever to just watch one video;<br>3: this app be perfect for watch video on the go;<br>,3
topic0,5.050718,red dot; home page; black square,search history; profile pic; navigation bar,11.13,1: it be so awesome that i could change my name but i didn't like the name a try to change it but i can't bc it say change to recently and i change it at <digit> o'clock pm so in the next update if u can fix that then i will_rate_5 star but until then it only <digit>;<br>2: plz change rat to <digit> because my 6s have restriction that won't_let it get <digit> apps and i love youtube so plz change i beg google;<br>3: when i change my name it say it be change recently;<br>,4
topic0,8.484751,home screen; content creator; home page,video playback; home screen; auto play,11.15,1: instead you have to scroll all the way back to get back to your home_page;<br>2: can you just put the bloody home_screen back to the way it be;<br>3: the home_page thumbnail be so large that there be no way to browse for new thing that might be interest;<br>,5
topic0,6.500922,sub box; subscription fee; subscription box,sub box; mobile data; negative feedback,11.17,1: every video say i've watch video that i haven't watch yet;<br>2: it say i've watch video that i definitely haven't watch yet;<br>3: it say every video in my subscription be watch even_though i haven't watch them;<br>,6
topic0,1.96125,safari browser; full screen; normal size,0,11.18,1: for_some_reason my quality for watch a video go bad then good quality;<br>2: you be better off go to youtube from safari and watch the video there;<br>3: whenever i click on a video it just show the start image and never go on;<br>,7
topic0,3.340154,full screen; home screen; buffer wheel,0,11.19,1: when im watch a video on iphone after at_least <digit> 5_minute later when im watch a video in full_screen be change the orientation of the screen cant scroll pause play video get out of the video anything;<br>2: so please change the age_restriction back to <digit>;<br>3: my next problem be that sometimes when i try to get on the app it will go to the screen that show the youtube symbol and go right back to the home_screen it do the same_thing about <digit> time in a row until i finally have to delete it and reinstall it;<br>,8
topic0,2.79623,tube red; home page; live stream,0,11.21,1: i have a iphone_4 an i use to have youtube but when i go to go on it say offline and i have to sign in so i delete it then i go to download it again and it say that i can't that i need to update it to a <digit>;<br>2: i have an iphone_4 and i always get on my phone and use this app because it be easy but i accidentally_delete the app and i true to get it back but it say i need to have a io_8;<br>3: i have an iphone_4 and i always get on my phone and use this app because it be easy but i accidentally_delete the app and i try to get it back but it say i need to have a io_8;<br>,9
topic0,3.772903,home screen; bull crap; long time,0,11.23,1: a lot_of people out there have a ios7 and people have complain why don't you please change it back to where people with io_8 and <digit> can use it like at io_7 maybe because it can work with people of that technology as_well please change it this isn't right aren't you suppose to listen to the people opinion and start do what the customer want so more people can use it;<br>2: i haven't be able to use youtube it keep say error it be <digit> or <digit> day and i even delete the app and download again and it still doesn't work it get annoy please do something about it;<br>3: why would i download the app if i just want to use it in safari;<br>,10
